Stock_Number,Deletion,Chromosome,Background,Block,Raw_Phenotype,Numeric_Phenotype,Deletion_Set
25741,Df(2R)BSC651,2R,ORE,5,F,5,BSC
25741,Df(2R)BSC651,2R,ORE,5,F,5,BSC
25741,Df(2R)BSC651,2R,ORE,5,G,4,BSC
25741,Df(2R)BSC651,2R,ORE,5,G,4,BSC
25741,Df(2R)BSC651,2R,ORE,5,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
25742,Df(2R)BSC652,2R,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
23149,Df(3L)BSC249,3L,ORE,1,G,4,BSC
24915,Df(3L)BSC411,3L,ORE,1,D,7,BSC
24915,Df(3L)BSC411,3L,ORE,1,D,7,BSC
24915,Df(3L)BSC411,3L,ORE,1,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,1,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,1,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,1,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,1,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,1,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,E,6,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,F,5,BSC
24915,Df(3L)BSC411,3L,ORE,4,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,1,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,2,F,5,BSC
24923,Df(3L)BSC419,3L,ORE,2,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,2,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,2,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,2,H,3,BSC
24923,Df(3L)BSC419,3L,ORE,2,I,2,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,G,4,BSC
24923,Df(3L)BSC419,3L,ORE,3,H,3,BSC
25116,Df(3L)BSC553,3L,ORE,1,D,7,BSC
25116,Df(3L)BSC553,3L,ORE,1,D,7,BSC
