ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_M_B2_7724_3,ORE,sd,M,B2,7724,1.762786664
ORE_sd_M_B2_7724_4,ORE,sd,M,B2,7724,1.859125729
ORE_sd_M_B2_7724_5,ORE,sd,M,B2,7724,1.522114016
ORE_sd_M_B2_7737_1,ORE,sd,M,B2,7737,1.203321977
ORE_sd_M_B2_7737_2,ORE,sd,M,B2,7737,1.615559124
ORE_sd_M_B2_7737_3,ORE,sd,M,B2,7737,1.268731248
ORE_sd_M_B2_7737_4,ORE,sd,M,B2,7737,1.359435989
ORE_sd_M_B2_7737_5,ORE,sd,M,B2,7737,1.9998989
ORE_sd_M_B2_7737_6,ORE,sd,M,B2,7737,0.972668323
ORE_sd_M_B2_7741_1,ORE,sd,M,B2,7741,1.448469796
ORE_sd_M_B2_7741_2,ORE,sd,M,B2,7741,1.89319719
ORE_sd_M_B2_7741_3,ORE,sd,M,B2,7741,1.841000211
ORE_sd_M_B2_7741_4,ORE,sd,M,B2,7741,1.674073066
ORE_sd_M_B2_7741_5,ORE,sd,M,B2,7741,1.857944767
ORE_sd_M_B2_7741_6,ORE,sd,M,B2,7741,1.48989763
ORE_sd_M_B2_7752_1,ORE,sd,M,B2,7752,1.478570478
ORE_sd_M_B2_7752_2,ORE,sd,M,B2,7752,1.074100694
ORE_sd_M_B2_7752_3,ORE,sd,M,B2,7752,1.557450263
ORE_sd_M_B2_7752_4,ORE,sd,M,B2,7752,0.837098079
ORE_sd_M_B2_7752_5,ORE,sd,M,B2,7752,1.154757652
ORE_sd_M_B2_7752_6,ORE,sd,M,B2,7752,0.982503957
ORE_sd_M_B2_7845_1,ORE,sd,M,B2,7845,1.956007657
ORE_sd_M_B2_7845_2,ORE,sd,M,B2,7845,2.042300495
ORE_sd_M_B2_7845_3,ORE,sd,M,B2,7845,1.664628926
ORE_sd_M_B2_7845_5,ORE,sd,M,B2,7845,1.846157475
ORE_sd_M_B2_7845_6,ORE,sd,M,B2,7845,1.405579793
ORE_sd_M_B2_7875_1,ORE,sd,M,B2,7875,1.421959377
ORE_sd_M_B2_7875_2,ORE,sd,M,B2,7875,1.746320054
ORE_sd_M_B2_7875_3,ORE,sd,M,B2,7875,1.609158287
