Deletion,Background,Sex,Block,Numeric_Phenotype
7503,S1,M,B2,8
7503,S1,M,B2,8
7503,S1,M,B2,8
7503,S1,M,B2,8
7503,S1,M,B2,8
7503,S1,M,B2,8
7505,S1,M,B2,4
7505,S1,M,B2,4
7505,S1,M,B2,4
7505,S1,M,B2,5
7505,S1,M,B2,5
7505,S1,M,B2,5
7505,S1,M,B2,6
7516,S1,M,B2,7
7516,S1,M,B2,7
7516,S1,M,B2,7
7516,S1,M,B2,7
7516,S1,M,B2,7
7516,S1,M,B2,8
7516,S1,M,B2,8
7524,S1,M,B2,5
7524,S1,M,B2,5
7524,S1,M,B2,5
7524,S1,M,B2,6
7524,S1,M,B2,7
7524,S1,M,B2,7
7524,S1,M,B2,8
7525,S1,M,B2,4
7525,S1,M,B2,5
7525,S1,M,B2,6
7525,S1,M,B2,6
7525,S1,M,B2,6
7525,S1,M,B2,6
7525,S1,M,B2,6
7525,S1,M,B2,6
7525,S1,M,B2,7
7529,S1,M,B2,5
7529,S1,M,B2,5
7529,S1,M,B2,6
7529,S1,M,B2,6
7529,S1,M,B2,6
7529,S1,M,B2,6
7529,S1,M,B2,7
7540,S1,M,B2,5
7540,S1,M,B2,6
7540,S1,M,B2,6
7540,S1,M,B2,6
7540,S1,M,B2,7
7540,S1,M,B2,7
7540,S1,M,B2,7
7541,S1,M,B1,7
7541,S1,M,B1,7
7541,S1,M,B1,7
7541,S1,M,B1,7
7541,S1,M,B1,7
7541,S1,M,B1,8
7541,S1,M,B1,8
7544,S1,M,B2,5
7544,S1,M,B2,6
7544,S1,M,B2,6
7544,S1,M,B2,6
7544,S1,M,B2,6
7544,S1,M,B2,7
7544,S1,M,B2,7
7554,S1,M,B2,6
7554,S1,M,B2,6
7554,S1,M,B2,6
7554,S1,M,B2,7
7554,S1,M,B2,7
7554,S1,M,B2,7
7585,S1,M,B1,7
7585,S1,M,B1,7
7585,S1,M,B1,7
7585,S1,M,B1,7
7585,S1,M,B1,7
7611,S1,M,B3,7
7611,S1,M,B3,7
7611,S1,M,B3,7
7611,S1,M,B3,8
7611,S1,M,B3,8
7611,S1,M,B3,8
7611,S1,M,B3,8
7625,S1,M,B1,7
7625,S1,M,B1,7
7625,S1,M,B1,7
7625,S1,M,B1,7
7625,S1,M,B1,7
7625,S1,M,B1,8
7625,S1,M,B1,1
7625,S1,M,B2,7
7625,S1,M,B2,7
7625,S1,M,B2,7
7625,S1,M,B2,7
7625,S1,M,B2,7
7625,S1,M,B2,7
7625,S1,M,B2,7
7677,S1,M,B2,6
7677,S1,M,B2,6
7677,S1,M,B2,6
7677,S1,M,B2,6
7677,S1,M,B2,6
7677,S1,M,B2,5
7677,S1,M,B2,5
7686,S1,M,B2,7
7686,S1,M,B2,7
7686,S1,M,B2,7
7686,S1,M,B2,7
7686,S1,M,B2,7
7686,S1,M,B2,7
7686,S1,M,B2,8
7724,S1,M,B1,7
7724,S1,M,B1,7
7724,S1,M,B1,7
7724,S1,M,B1,7
7724,S1,M,B1,7
7724,S1,M,B1,7
7724,S1,M,B1,6
7741,S1,M,B2,4
7741,S1,M,B2,4
7741,S1,M,B2,5
7741,S1,M,B2,5
7741,S1,M,B2,5
7741,S1,M,B2,5
7741,S1,M,B2,6
7741,S1,M,B2,6
7741,S1,M,B2,6
7741,S1,M,B2,6
7741,S1,M,B2,7
7741,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7795,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7834,S1,M,B2,7
7845,S1,M,B2,5
7845,S1,M,B2,5
7845,S1,M,B2,6
7845,S1,M,B2,6
7845,S1,M,B2,7
7845,S1,M,B2,7
7845,S1,M,B2,7
7875,S1,M,B1,6
7875,S1,M,B1,6
7875,S1,M,B1,6
7875,S1,M,B1,6
