ID,Background,Mutation,Sex,Block,Deletion,Centroid_Size
ORE_sd_F_B2_7845_2,ORE,sd,f,B2,7845,2.402842899
ORE_sd_F_B2_7845_3,ORE,sd,f,B2,7845,2.478875299
ORE_sd_F_B2_7845_4,ORE,sd,f,B2,7845,2.407030328
ORE_sd_F_B2_7845_5,ORE,sd,f,B2,7845,2.384742113
ORE_sd_F_B2_7845_6,ORE,sd,f,B2,7845,2.324420962
ORE_sd_F_B2_7875_1,ORE,sd,f,B2,7875,2.121385871
ORE_sd_F_B2_7875_2,ORE,sd,f,B2,7875,2.062538181
ORE_sd_F_B2_7875_3,ORE,sd,f,B2,7875,2.149547352
ORE_sd_F_B2_7875_4,ORE,sd,f,B2,7875,2.139328178
ORE_sd_F_B2_7875_5,ORE,sd,f,B2,7875,2.088589293
ORE_sd_F_B2_7875_6,ORE,sd,f,B2,7875,2.162894136
ORE_sd_F_B2_7894_1,ORE,sd,f,B2,7894,2.391742223
ORE_sd_F_B2_7894_2,ORE,sd,f,B2,7894,2.382032815
ORE_sd_F_B2_7894_3,ORE,sd,f,B2,7894,2.385274717
ORE_sd_F_B2_7894_4,ORE,sd,f,B2,7894,2.422874372
ORE_sd_F_B2_7894_5,ORE,sd,f,B2,7894,2.44330962
ORE_sd_F_B2_7894_6,ORE,sd,f,B2,7894,2.327994735
ORE_sd_F_B2_7942_1,ORE,sd,f,B2,7942,2.318933522
ORE_sd_F_B2_7942_2,ORE,sd,f,B2,7942,2.161391112
ORE_sd_F_B2_7942_3,ORE,sd,f,B2,7942,2.245445186
ORE_sd_F_B2_7942_4,ORE,sd,f,B2,7942,2.381917061
ORE_sd_F_B2_7942_5,ORE,sd,f,B2,7942,2.285045597
ORE_sd_F_B2_7942_6,ORE,sd,f,B2,7942,2.291132804
ORE_sd_F_B2_7949_1,ORE,sd,f,B2,7949,2.39409785
ORE_sd_F_B2_7949_2,ORE,sd,f,B2,7949,2.359064485
ORE_sd_F_B2_7949_3,ORE,sd,f,B2,7949,2.399069619
ORE_sd_F_B2_7949_4,ORE,sd,f,B2,7949,2.365937139
ORE_sd_F_B2_7949_5,ORE,sd,f,B2,7949,2.402115135
ORE_sd_F_B2_7949_6,ORE,sd,f,B2,7949,2.37489736
ORE_sd_F_B2_7951_1,ORE,sd,f,B2,7951,2.343003708
ORE_sd_F_B2_7951_2,ORE,sd,f,B2,7951,2.338886264
ORE_sd_F_B2_7951_3,ORE,sd,f,B2,7951,2.262592795
ORE_sd_F_B2_7951_4,ORE,sd,f,B2,7951,2.304493659
ORE_sd_F_B2_7951_5,ORE,sd,f,B2,7951,2.38476269
ORE_sd_F_B2_7951_6,ORE,sd,f,B2,7951,2.350450547
ORE_sd_F_B2_7960_1,ORE,sd,f,B2,7960,2.322402676
ORE_sd_F_B2_7960_2,ORE,sd,f,B2,7960,2.358915035
ORE_sd_F_B2_7960_3,ORE,sd,f,B2,7960,2.412206006
ORE_sd_F_B2_7960_4,ORE,sd,f,B2,7960,2.347353568
ORE_sd_F_B2_7960_5,ORE,sd,f,B2,7960,2.421746799
ORE_sd_F_B2_7960_6,ORE,sd,f,B2,7960,2.352315372
ORE_sd_F_B2_7976_1,ORE,sd,f,B2,7976,2.32015779
ORE_sd_F_B2_7976_2,ORE,sd,f,B2,7976,2.252659091
ORE_sd_F_B2_7976_3,ORE,sd,f,B2,7976,2.389652276
ORE_sd_F_B2_7976_4,ORE,sd,f,B2,7976,2.332997578
ORE_sd_F_B2_7976_5,ORE,sd,f,B2,7976,2.250451363
ORE_sd_F_B2_7976_6,ORE,sd,f,B2,7976,2.338225173
ORE_sd_F_B2_7993_1,ORE,sd,f,B2,7993,2.362087668
ORE_sd_F_B2_7993_2,ORE,sd,f,B2,7993,2.360499775
ORE_sd_F_B2_7993_3,ORE,sd,f,B2,7993,2.335246061
ORE_sd_F_B2_7993_4,ORE,sd,f,B2,7993,2.454827273
ORE_sd_F_B2_7993_5,ORE,sd,f,B2,7993,2.460495358
ORE_sd_F_B2_7993_6,ORE,sd,f,B2,7993,2.337560693
ORE_sd_F_B2_7995_1,ORE,sd,f,B2,7995,2.358743669
ORE_sd_F_B2_7995_2,ORE,sd,f,B2,7995,2.316494375
ORE_sd_F_B2_7995_3,ORE,sd,f,B2,7995,2.327517714
ORE_sd_F_B2_7995_4,ORE,sd,f,B2,7995,2.444875718
ORE_sd_F_B2_7995_5,ORE,sd,f,B2,7995,2.282092025
ORE_sd_F_B2_7995_6,ORE,sd,f,B2,7995,2.389769359
ORE_sd_F_B2_7998_1,ORE,sd,f,B2,7998,2.21367629
ORE_sd_F_B2_7998_2,ORE,sd,f,B2,7998,2.256975803
ORE_sd_F_B2_7998_3,ORE,sd,f,B2,7998,2.29797618
ORE_sd_F_B2_7998_4,ORE,sd,f,B2,7998,2.248928495
ORE_sd_F_B2_7998_5,ORE,sd,f,B2,7998,2.288235706
ORE_sd_F_B2_7998_6,ORE,sd,f,B2,7998,2.255681019
ORE_sd_F_B1_6326_10,ORE,sd,f,B1,6326,2.360307575
ORE_sd_F_B1_6326_11,ORE,sd,f,B1,6326,2.248936662
ORE_sd_F_B1_6326_12,ORE,sd,f,B1,6326,2.327989209
ORE_sd_F_B1_6326_7,ORE,sd,f,B1,6326,2.251532622
ORE_sd_F_B1_6326_8,ORE,sd,f,B1,6326,2.409217566
ORE_sd_F_B1_6326_9,ORE,sd,f,B1,6326,2.316350765
ORE_sd_F_B3_6326_1,ORE,sd,f,B3,6326,2.362115197
ORE_sd_F_B3_6326_10,ORE,sd,f,B3,6326,2.395826805
ORE_sd_F_B3_6326_11,ORE,sd,f,B3,6326,2.075364533
ORE_sd_F_B3_6326_12,ORE,sd,f,B3,6326,2.384457651
ORE_sd_F_B3_6326_2,ORE,sd,f,B3,6326,2.181249349
ORE_sd_F_B3_6326_3,ORE,sd,f,B3,6326,2.441963704
ORE_sd_F_B3_6326_4,ORE,sd,f,B3,6326,2.37666793
ORE_sd_F_B3_6326_5,ORE,sd,f,B3,6326,2.528036035
ORE_sd_F_B3_6326_6,ORE,sd,f,B3,6326,2.250277183
ORE_sd_F_B3_6326_7,ORE,sd,f,B3,6326,2.081137963
ORE_sd_F_B3_6326_8,ORE,sd,f,B3,6326,2.404407427
ORE_sd_F_B3_6326_9,ORE,sd,f,B3,6326,2.380409889
ORE_sd_F_B3_7513_1,ORE,sd,f,B3,7513,2.187789291
ORE_sd_F_B3_7513_2,ORE,sd,f,B3,7513,2.279896117
ORE_sd_F_B3_7513_3,ORE,sd,f,B3,7513,2.246210444
ORE_sd_F_B3_7513_4,ORE,sd,f,B3,7513,2.374317576
ORE_sd_F_B3_7513_5,ORE,sd,f,B3,7513,2.187239142
ORE_sd_F_B3_7513_6,ORE,sd,f,B3,7513,2.286568816
ORE_sd_F_B3_7540_1,ORE,sd,f,B3,7540,2.258967453
ORE_sd_F_B3_7540_2,ORE,sd,f,B3,7540,2.320170236
ORE_sd_F_B3_7540_3,ORE,sd,f,B3,7540,2.294331407
ORE_sd_F_B3_7540_4,ORE,sd,f,B3,7540,2.255733306
ORE_sd_F_B3_7540_5,ORE,sd,f,B3,7540,2.22947133
ORE_sd_F_B3_7540_6,ORE,sd,f,B3,7540,2.287970512
ORE_sd_F_B3_7541_1,ORE,sd,f,B3,7541,2.382016808
