Stock_Number,Deletion,Rxn_Norm,Chromosome,Background,Block,Numeric_Phenotype,Deletion_Set,Gene
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,2,5,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,7,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,6,DrosDel,Dll
5905,Control,sd[E3],2R,SAM,3,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,15,6,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
5905,Control,sd[E3],3R,SAM,17,7,DrosDel,Dll
